title,type,score,scored_by,status,episodes,end_date,source,members,favorites,start year,season,genres,demographics,studios,title_english
Fullmetal Alchemist: Brotherhood,tv,9.1,2037075,finished,64,2010-07-04,manga,3206028,219036,2009,spring,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Shounen'],['Bones'],Fullmetal Alchemist: Brotherhood
Hunter x Hunter (2011),tv,9.04,1671587,finished,148,2014-09-24,manga,2688079,202109,2011,fall,"['Action', 'Adventure', 'Fantasy']",['Shounen'],['Madhouse'],Hunter x Hunter
Shingeki no Kyojin Season 3 Part 2,tv,9.05,1491491,finished,10,2019-07-01,manga,2133927,55644,2019,spring,"['Action', 'Drama']",['Shounen'],['Wit Studio'],Attack on Titan Season 3 Part 2
Steins;Gate,tv,9.07,1348232,finished,24,2011-09-14,visual_novel,2463954,184312,2011,spring,"['Drama', 'Sci-Fi', 'Suspense']",[],['White Fox'],Steins;Gate
Koe no Katachi,movie,8.94,1540277,finished,1,2016-09-17,manga,2218467,84124,2016,summer,"['Award Winning', 'Drama']",['Shounen'],['Kyoto Animation'],A Silent Voice
Kimi no Na wa.,movie,8.84,1825476,finished,1,2016-08-26,original,2624738,87856,2016,summer,"['Award Winning', 'Drama', 'Supernatural']",[],['CoMix Wave Films'],Your Name.
Code Geass: Hangyaku no Lelouch R2,tv,8.91,1154270,finished,25,2008-09-28,original,1714368,74991,2008,spring,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",[],['Sunrise'],Code Geass: Lelouch of the Rebellion R2
Shingeki no Kyojin: The Final Season,tv,8.8,1237778,finished,16,2021-03-29,manga,1872476,51504,2021,winter,"['Action', 'Drama']",['Shounen'],['MAPPA'],Attack on Titan: Final Season
Sen to Chihiro no Kamikakushi,movie,8.78,1246643,finished,1,2001-07-20,original,1777836,31487,2001,summer,"['Adventure', 'Award Winning', 'Supernatural']",[],['Studio Ghibli'],Spirited Away
Code Geass: Hangyaku no Lelouch,tv,8.7,1353753,finished,25,2007-07-29,original,2169252,106054,2006,fall,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",[],['Sunrise'],Code Geass: Lelouch of the Rebellion
Death Note,tv,8.62,2642716,finished,37,2007-06-27,manga,3747523,168772,2006,fall,"['Supernatural', 'Suspense']",['Shounen'],['Madhouse'],Death Note
One Piece,tv,8.7,1248354,finished,,,manga,2204897,203640,1999,fall,"['Action', 'Adventure', 'Fantasy']",['Shounen'],['Toei Animation'],One Piece
Jujutsu Kaisen,tv,8.63,1496707,finished,24,2021-03-27,manga,2304046,82645,2020,fall,"['Action', 'Award Winning', 'Fantasy']",['Shounen'],['MAPPA'],Jujutsu Kaisen
Shingeki no Kyojin Season 3,tv,8.62,1524632,finished,12,2018-10-15,manga,2239336,19933,2018,summer,"['Action', 'Drama']",['Shounen'],['Wit Studio'],Attack on Titan Season 3
Shigatsu wa Kimi no Uso,tv,8.65,1301734,finished,22,2015-03-20,manga,2130316,83956,2014,fall,"['Drama', 'Romance']",['Shounen'],['A-1 Pictures'],Your Lie in April
Mob Psycho 100 II,tv,8.8,914491,finished,13,2019-04-01,web_manga,1450818,31753,2019,winter,"['Action', 'Comedy', 'Supernatural']",[],['Bones'],Mob Psycho 100 II
Shingeki no Kyojin,tv,8.54,2685033,finished,25,2013-09-29,manga,3779820,165109,2013,spring,"['Action', 'Award Winning', 'Drama', 'Suspense']",['Shounen'],['Wit Studio'],Attack on Titan
Cowboy Bebop,tv,8.75,923377,finished,26,1999-04-24,original,1788584,79192,1998,spring,"['Action', 'Award Winning', 'Sci-Fi']",[],['Sunrise'],Cowboy Bebop
Kimetsu no Yaiba: Yuukaku-hen,tv,8.79,805702,finished,11,2022-02-13,manga,1287198,23792,2022,winter,"['Action', 'Fantasy']",['Shounen'],['ufotable'],Demon Slayer: Kimetsu no Yaiba Entertainment District Arc
Violet Evergarden,tv,8.67,925933,finished,13,2018-04-05,light_novel,1695886,58458,2018,winter,"['Drama', 'Fantasy']",[],['Kyoto Animation'],Violet Evergarden
One Punch Man,tv,8.5,2150652,finished,12,2015-12-21,web_manga,3087808,62773,2015,fall,"['Action', 'Comedy']",['Seinen'],['Madhouse'],One Punch Man
